age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
34,technician,married,secondary,no,1500,yes,no,cellular,5,may,120,1,999,0,nonexistent
42,management,married,tertiary,no,2500,yes,no,telephone,12,may,240,2,999,0,nonexistent
29,services,single,secondary,no,300,yes,no,cellular,20,apr,90,1,999,0,nonexistent
58,retired,married,basic.4y,no,10000,no,no,cellular,3,mar,300,1,999,0,nonexistent
47,admin.,divorced,tertiary,no,4300,yes,yes,telephone,17,jun,180,3,999,0,nonexistent
25,student,single,tertiary,no,50,no,no,cellular,9,jul,60,1,999,0,nonexistent
36,entrepreneur,married,tertiary,yes,5200,yes,no,cellular,30,aug,210,2,999,0,nonexistent
51,blue-collar,married,secondary,no,800,yes,yes,telephone,8,may,95,2,999,0,nonexistent
40,management,married,tertiary,no,3200,no,no,cellular,21,may,130,1,999,0,nonexistent
33,technician,single,secondary,no,1200,yes,no,cellular,2,apr,150,2,999,0,nonexistent
28,services,single,secondary,no,600,no,no,telephone,15,jun,70,1,999,0,nonexistent
45,management,married,tertiary,no,7600,yes,no,cellular,11,may,260,1,3,1,success
60,retired,married,basic.4y,no,9000,no,yes,cellular,6,mar,200,2,999,0,nonexistent
22,student,single,unknown,no,30,no,no,cellular,19,aug,40,1,999,0,nonexistent
39,self-employed,married,tertiary,no,2100,yes,no,telephone,27,sep,170,2,999,0,nonexistent
48,technician,divorced,secondary,no,3400,yes,no,cellular,14,may,140,1,999,0,nonexistent
55,retired,married,primary,no,4300,no,no,telephone,4,apr,190,3,999,0,nonexistent
31,services,single,secondary,no,1100,yes,no,cellular,23,jun,85,1,999,0,nonexistent
44,admin.,married,tertiary,no,5000,yes,no,cellular,10,may,210,2,999,0,nonexistent
27,technician,single,secondary,no,700,no,no,telephone,18,apr,55,1,999,0,nonexistent
